# MSD data
# time, 300 K, 350 K, 400 K
267,5.208484991,26.99937214,76.0432273
268,5.217937858,27.0894052,76.29996756
269,5.239651275,27.183307,76.55527245
270,5.248121983,27.28243979,76.80969954
271,5.262926996,27.37669918,77.07077843
272,5.277178122,27.48126109,77.32855675
273,5.291539398,27.58444913,77.5850553
274,5.300674817,27.68390987,77.84565713
275,5.305536591,27.7842499,78.10880937
276,5.320973252,27.88013403,78.36104322
277,5.339915895,27.97282434,78.60897153
278,5.356844199,28.07341034,78.86441187
279,5.363688213,28.1778716,79.11734352
280,5.375027371,28.27386673,79.36818091
281,5.390782294,28.36876301,79.61144898
282,5.405853438,28.46973565,79.86432828
283,5.41729009,28.56748378,80.12770779
284,5.425697368,28.66518422,80.38720515
285,5.432496163,28.76868287,80.64665937
286,5.446096786,28.86343305,80.89976754
287,5.460617764,28.95157401,81.15289188
288,5.467584438,29.05102305,81.40751073
289,5.480644461,29.15786357,81.65881201
290,5.48776035,29.25682451,81.90965445
291,5.499805256,29.36015794,82.16685183
292,5.515361121,29.46133344,82.41641585
293,5.520646405,29.56175227,82.66224381
294,5.534705566,29.66764413,82.91330792
295,5.546480906,29.76677264,83.16729836
296,5.558001786,29.86763164,83.41013237
297,5.573331847,29.96259735,83.65673183
298,5.59130384,30.05595826,83.90376229
299,5.604851771,30.15335538,84.15670666
300,5.616138031,30.25457409,84.39819555
301,5.630051133,30.36220302,84.63979986
302,5.645593145,30.46360713,84.89285119
303,5.654579019,30.56890845,85.14045049
304,5.669086893,30.67395201,85.38481414
305,5.681235442,30.77352507,85.61816238
306,5.686927643,30.87159648,85.85595191
307,5.700302446,30.98008059,86.10058175
308,5.712351012,31.07713546,86.33431769
309,5.723322899,31.17657896,86.5680923
310,5.734281437,31.28753968,86.79878245
311,5.739095253,31.39137212,87.0463098
312,5.743979149,31.49969006,87.28827752
313,5.754433961,31.60511716,87.52917423
314,5.768484606,31.71049699,87.78548422
315,5.777540946,31.82070174,88.03432232
316,5.784193505,31.92877188,88.27789583
317,5.787912915,32.0258916,88.5244481
318,5.799946878,32.12301288,88.77442766
319,5.812154505,32.2293008,89.01951992
320,5.822755071,32.33653453,89.2768262
321,5.831102183,32.4412786,89.52488059
322,5.844391504,32.54339479,89.77195138
323,5.859611094,32.65267381,90.02024249
324,5.86999773,32.7618084,90.26655867
325,5.874800555,32.87185675,90.50998372
326,5.878610539,32.9732328,90.75092574
327,5.890551274,33.07765553,91.00112989
328,5.905153767,33.17435722,91.2478587
329,5.913942121,33.27198963,91.4999383
330,5.924740528,33.37072538,91.74752028
331,5.931339429,33.47580795,92.00077754
332,5.937987907,33.581806,92.24351125
333,5.951346522,33.68228702,92.48911939
334,5.963215881,33.78863006,92.73493272
335,5.967236671,33.89754117,92.97757082
336,5.976061339,34.00254459,93.22844271
337,5.987633574,34.10522023,93.47612369
338,6.000655719,34.21448038,93.72248516
339,6.009644598,34.32432365,93.9579771
340,6.015991916,34.42947721,94.19248004
341,6.024633233,34.53393667,94.43098104
342,6.040848881,34.63035012,94.6644323
343,6.058020023,34.73787559,94.90009524
344,6.066628117,34.8438593,95.14644121
345,6.075579066,34.93895846,95.39083153
346,6.084643602,35.03622518,95.62174578
347,6.095304172,35.13903608,95.86559038
348,6.101458956,35.24519182,96.10229279
349,6.116764978,35.34859169,96.34890107
350,6.128053181,35.4545702,96.58956965
351,6.139177945,35.5631765,96.8277156
352,6.148879654,35.66655631,97.06567745
353,6.162228596,35.77500081,97.31147284
354,6.169081586,35.87949438,97.55766845
355,6.181125791,35.98811643,97.79889911
356,6.191406896,36.09393278,98.04480723
357,6.195485353,36.20205423,98.29165185
358,6.208985947,36.30883194,98.53070214
359,6.226275034,36.41031944,98.76233926
360,6.236334692,36.50597137,98.99930529
361,6.241927471,36.60691265,99.22558336
362,6.251853206,36.714279,99.46256613
363,6.258779977,36.81777009,99.70175892
364,6.273896667,36.91294066,99.94251671
365,6.283971645,37.01007695,100.184763
366,6.28908697,37.11158809,100.417891
367,6.296623238,37.21845752,100.6597092
368,6.31372334,37.31952053,100.8987037
369,6.32184531,37.41756099,101.1409871
370,6.328148847,37.52272213,101.375503
371,6.332232927,37.61903312,101.6168954
372,6.343519515,37.72277428,101.8516128
373,6.356456816,37.83192849,102.0918008
374,6.367068139,37.93493655,102.3246352
375,6.375153299,38.04143729,102.5736091
376,6.380570798,38.14300668,102.8212124
377,6.385743326,38.25409733,103.0745392
378,6.394884758,38.36966649,103.3161415
379,6.404058464,38.47122853,103.5588044
380,6.419255827,38.57818151,103.8122549
381,6.42207291,38.68699667,104.0621769
382,6.423004148,38.79168296,104.2975517
383,6.432313102,38.89989283,104.5384674
384,6.444146394,39.00656865,104.781058
385,6.456265572,39.10931613,105.0214683
386,6.467092612,39.2066497,105.2702514
387,6.472381456,39.30742588,105.5234385
388,6.478646906,39.41868683,105.772753
389,6.490535699,39.52956875,106.016446
390,6.50180976,39.63895086,106.2631133
391,6.50988977,39.75397044,106.5118329
392,6.522392344,39.86906008,106.758114
393,6.530492943,39.9874981,107.0040232
394,6.5383884,40.10196354,107.247078
395,6.546741453,40.21143104,107.4815376
396,6.558428443,40.32051289,107.7208642
397,6.572378031,40.43077327,107.9527482
398,6.582214302,40.5436608,108.1856042
399,6.584464445,40.65669755,108.4215361
400,6.596704734,40.76755019,108.6612878
401,6.606167221,40.88315138,108.8980053
402,6.621224882,40.998485,109.1456558
403,6.634297204,41.10731864,109.3854366
404,6.641719821,41.21895867,109.6183342
405,6.659593492,41.33093563,109.8479029
406,6.669638774,41.44186329,110.0883278
407,6.678570904,41.55334129,110.3190577
408,6.68929304,41.66589378,110.5661759
409,6.700215062,41.78081006,110.8085447
410,6.716026569,41.90002974,111.0498309
411,6.728511738,42.01765409,111.3030243
412,6.736049969,42.12324587,111.5615865
413,6.749036453,42.23556539,111.8136808
414,6.763294426,42.34043848,112.0626195
415,6.778261316,42.44946117,112.3061995
416,6.787483457,42.56859541,112.5604231
417,6.801454908,42.67669531,112.8173341
418,6.812830603,42.78536484,113.0607831
419,6.822611779,42.89680908,113.3082237
420,6.839259917,43.00218623,113.5508124
421,6.846906496,43.11500872,113.7975991
422,6.857963072,43.22036836,114.0436657
423,6.873684341,43.31695259,114.2947917
424,6.876982533,43.42084047,114.5490598
425,6.887511106,43.52264087,114.8034961
426,6.895787939,43.63224457,115.0594656
427,6.905072662,43.74574266,115.310721
428,6.914047317,43.85476746,115.5564397
429,6.932071019,43.95918937,115.8098258
430,6.946027214,44.07297215,116.0568738
431,6.956414124,44.18830159,116.3051285
432,6.964656748,44.29010128,116.5501954
433,6.976409098,44.3924339,116.7952388
434,6.988692605,44.50408731,117.0310688
435,6.997031797,44.61663609,117.271249
436,7.007992955,44.72931707,117.5020619
437,7.020841098,44.83287698,117.737629
438,7.031443083,44.9296171,117.9765541
439,7.037865359,45.03743171,118.2166614
440,7.049514834,45.14452488,118.4587178
441,7.058919153,45.24982295,118.700889
442,7.069032095,45.35786696,118.9448937
443,7.076173648,45.45866581,119.1888063
444,7.08801564,45.5602389,119.4324701
445,7.09365234,45.66564963,119.6780995
446,7.096831698,45.77602646,119.9292569
447,7.111827535,45.88069208,120.185168
448,7.123426911,45.98549227,120.4257537
449,7.12799432,46.09688209,120.6641823
450,7.13155335,46.20361671,120.903312
451,7.146552671,46.30815431,121.1516456
452,7.161434356,46.40470513,121.394374
453,7.163753582,46.5083147,121.6237966
454,7.173620539,46.61282907,121.8524263
455,7.178472201,46.70279204,122.0813602
456,7.190762173,46.8033807,122.312731
457,7.196646028,46.902762,122.5423563
458,7.203002175,47.00473813,122.76747
459,7.211596863,47.09963972,122.9932031
460,7.221215465,47.18980188,123.2248677
461,7.231224423,47.28218261,123.4482079
462,7.236842197,47.37719567,123.6777771
463,7.23953882,47.47851112,123.9140575
464,7.246757495,47.57741251,124.1445111
465,7.259045056,47.66828823,124.3605207
466,7.26488104,47.76506141,124.5721003
467,7.267064633,47.86477778,124.7928513
468,7.279245577,47.95647787,125.0167625
469,7.287069461,48.05236435,125.2531075
470,7.284307435,48.14770552,125.4864763
471,7.28806884,48.2361659,125.7115009
472,7.294007857,48.34020799,125.9407266
473,7.299683782,48.44084515,126.1671825
474,7.311857714,48.53334772,126.3914706
475,7.313745892,48.62683024,126.6155006
476,7.322938043,48.71673035,126.8390581
477,7.330062776,48.8091915,127.0763011
478,7.341225159,48.89996242,127.3109867
479,7.349979369,48.99458859,127.5518714
480,7.36085193,49.08890753,127.777513
481,7.372844082,49.18125696,128.0125928
482,7.37331095,49.28047047,128.2596436
483,7.383750407,49.37612877,128.4944491
484,7.398246701,49.47535037,128.7375243
485,7.401948369,49.57803057,128.9732541
486,7.402259118,49.6716798,129.2107783
487,7.412478515,49.76550747,129.4449504
488,7.423400272,49.86396637,129.6780908
489,7.428229734,49.96265752,129.9136048
490,7.436067975,50.06257685,130.1550623
491,7.443807133,50.15436226,130.3977877
492,7.446929141,50.24372643,130.6361997
493,7.453268219,50.33317718,130.8783689
494,7.463482336,50.43052179,131.1166573
495,7.469711026,50.52506172,131.3567864
496,7.475119633,50.61599211,131.5984585
497,7.478466817,50.71332553,131.8395362
498,7.490319481,50.80811659,132.0785184
499,7.495381395,50.90698264,132.313467
